BbF,BjF,BkF,Carbazole,DBahP
,,,,ENSDARG00000088136
,,,,ENSDARG00000089507
,,,,ENSDARG00000089538
,,,,ENSDARG00000089691
,,,,ENSDARG00000089697
,,,,ENSDARG00000091116
,,,,ENSDARG00000091130
,,,,ENSDARG00000091408
,,,,ENSDARG00000091548
,,,,ENSDARG00000091598
,,,,ENSDARG00000091619
,,,,ENSDARG00000091792
,,,,ENSDARG00000092644
,,,,ENSDARG00000093799
,,,,ENSDARG00000096920
,,,,ENSDARG00000097491
,,,,ENSDARG00000097650
,,,,ENSDARG00000098315
,,,,ENSDARG00000098420
,,,,ENSDARG00000098511
,,,,ENSDARG00000098566
,,,,ENSDARG00000098605
,,,,ENSDARG00000098746
,,,,ENSDARG00000098761
,,,,ENSDARG00000098857
,,,,ENSDARG00000099024
,,,,ENSDARG00000099096
,,,,ENSDARG00000099199
,,,,ENSDARG00000099364
,,,,ENSDARG00000099437
,,,,ENSDARG00000099702
,,,,ENSDARG00000100402
,,,,ENSDARG00000100562
,,,,ENSDARG00000100592
,,,,ENSDARG00000100679
,,,,ENSDARG00000101019
,,,,ENSDARG00000101175
,,,,ENSDARG00000101195
,,,,ENSDARG00000101364
,,,,ENSDARG00000101713
,,,,ENSDARG00000102095
,,,,ENSDARG00000102142
,,,,ENSDARG00000102331
,,,,ENSDARG00000102478
,,,,ENSDARG00000102589
,,,,ENSDARG00000102719
,,,,ENSDARG00000102773
,,,,ENSDARG00000103056
,,,,ENSDARG00000103155
,,,,ENSDARG00000103199
,,,,ENSDARG00000103456
,,,,ENSDARG00000103576
,,,,ENSDARG00000103906
,,,,ENSDARG00000104068
,,,,ENSDARG00000104283
,,,,ENSDARG00000104483
,,,,ENSDARG00000104981
,,,,ENSDARG00000105490
,,,,ENSDARG00000105863
,,,,ENSDARG00000106418
,,,,ENSDARG00000106989
