Gene,Retene_Rep1,Retene_Rep2,Retene_Rep3,Retene_Rep4,Control1_Rep1,Control1_Rep2,Control1_Rep3,Control1_Rep4
ENSDARG00000095654.2,6.681518969,6.696712405,6.554937416,6.954691716,6.739768347,6.998602243,6.706366022,6.841431872
ENSDARG00000055294.5,9.004020283,9.068439951,8.910134581,8.709683571,8.801115972,8.747907387,8.650506423,8.743914555
ENSDARG00000102574.1,6.522770694,6.219712612,6.219712612,6.672812111,6.494875219,6.745659104,6.670568393,6.219712612
ENSDARG00000016854.8,7.531830102,7.701175201,7.509686519,7.571959065,7.765684858,7.895562125,7.828821175,7.869925481
ENSDARG00000094041.4,9.687348675,10.16100526,9.847231561,9.631281529,10.55976417,9.769319993,10.11982394,10.49278942
ENSDARG00000027777.9,7.591528229,7.653461006,7.852540274,7.903964125,7.907726114,7.627542887,7.660499372,7.825228516
ENSDARG00000101229.1,7.353100396,7.496177633,7.490291874,7.582965212,7.680887439,7.430415996,7.828821175,7.710307561
ENSDARG00000056729.4,10.22565618,10.2888871,10.17968505,9.7549629,10.08180315,10.02943575,10.2921927,10.18328856
ENSDARG00000097172.1,7.701815238,7.473295521,7.794816673,7.429889197,7.499018904,7.359222098,7.509063804,7.462201535
ENSDARG00000078979.3,8.469818062,8.26865342,8.457476074,8.595049534,8.482196742,8.712807462,8.390253063,8.480287986
ENSDARG00000090803.2,7.289720507,7.111026023,7.153614518,7.184470312,7.230064094,7.05350709,7.035308233,7.311103931
ENSDARG00000077415.3,7.468492744,7.337027602,7.194882521,7.377682869,7.579409314,6.745659104,7.398531672,7.325873336
ENSDARG00000063180.7,8.640991269,8.165386724,8.727740243,8.761435293,8.442614289,8.618735119,8.772182798,8.703409583
ENSDARG00000102317.1,10.50526722,10.7518753,10.9639884,10.92357121,10.57221652,10.48450686,10.602123,10.27576096
ENSDARG00000091956.2,7.744707667,7.296220977,7.741819125,7.687254223,7.44538369,7.785959278,7.738416498,7.249513019
ENSDARG00000025309.9,9.074818379,8.77953484,8.762768425,9.008538826,8.738159051,9.019394311,8.78459526,8.838127036
ENSDARG00000094046.2,6.467309736,6.62337179,6.721153906,6.80308597,6.662333803,6.468712239,6.480718748,6.943733381
ENSDARG00000103049.1,6.39489751,6.867269039,6.925377061,6.63361504,6.662333803,6.959506953,6.854776942,6.546215898
ENSDARG00000090930.3,7.500650754,6.936754662,7.271896867,7.350480514,6.951306932,7.137010915,6.670568393,7.382731221
ENSDARG00000099024.1,8.033953535,8.297503365,8.08238315,8.021584523,8.227204783,8.192478086,8.013594769,8.12220171
ENSDARG00000027082.9,7.031168825,6.914422183,7.048228942,7.232908845,7.223100703,7.035657945,7.212272672,7.325873336
ENSDARG00000076310.5,8.520365839,8.251027153,8.553763122,8.404994552,8.461389338,8.660444821,8.792807851,8.73501742
ENSDARG00000087318.2,8.728713491,8.286040895,8.390671159,7.72635003,8.300427533,8.597384401,8.556336512,8.491038604
ENSDARG00000015025.10,10.38780182,10.33437371,10.53352497,10.6015178,10.34546833,10.58117835,10.4561417,10.56166598
ENSDARG00000073787.2,7.315594873,7.484800939,6.962745926,7.582965212,7.574561416,7.464166531,7.22804745,7.648122601
ENSDARG00000101829.1,6.770681927,6.47550747,6.594295998,6.80308597,6.819156468,6.684118973,6.706366022,6.841431872
ENSDARG00000093323.3,6.647520759,6.914422183,6.944322344,7.133073896,7.230064094,7.035657945,7.31721775,6.812908824
ENSDARG00000045799.5,8.262125855,7.764725091,8.399777547,8.252779892,8.564464454,8.712807462,8.356633518,8.850484872
ENSDARG00000058999.5,8.223076633,8.100449434,8.305715034,8.51109404,8.513927129,8.283079309,8.536679858,8.862732183
ENSDARG00000090901.3,9.985683494,10.03199082,9.98674236,9.982973698,9.795149378,9.339670083,9.728224719,9.85945832
ENSDARG00000102761.1,7.389175404,7.253503834,7.460488905,7.74539869,7.509414596,7.57915974,7.565659648,7.559266251
ENSDARG00000070437.5,11.17078241,11.48784947,11.4416128,11.76346221,11.32837948,11.02960239,11.50675667,11.37121969
ENSDARG00000104576.1,8.789123825,9.103396717,8.928638778,9.057154975,8.826217248,8.851654521,8.917914138,8.817279257
ENSDARG00000093289.1,6.569440766,6.219712612,6.554937416,6.63361504,6.710317509,6.395891062,6.219712612,6.546215898
ENSDARG00000087788.6,7.083227607,6.661613352,6.510188452,6.857912417,6.806708222,6.773772799,7.074016466,6.919661333
