GeneID,ModuleID
SYNPCC7002_A1593,13
SYNPCC7002_A1597,45
SYNPCC7002_A1599,7
SYNPCC7002_A1601,12
SYNPCC7002_A1602,12
SYNPCC7002_A1603,12
SYNPCC7002_A1604,12
SYNPCC7002_A1606,21
SYNPCC7002_A1613,4
SYNPCC7002_A1616,2
SYNPCC7002_A1622,12
SYNPCC7002_A1623,13
SYNPCC7002_A1628,5
SYNPCC7002_A1631,6
SYNPCC7002_A1633,1
SYNPCC7002_A1635,10
SYNPCC7002_A1638,4
SYNPCC7002_A1652,2
SYNPCC7002_A1653,2
SYNPCC7002_A1656,15
SYNPCC7002_A1657,4
SYNPCC7002_A1658,15
SYNPCC7002_A1661,9
SYNPCC7002_A1662,45
SYNPCC7002_A1663,13
SYNPCC7002_A1670,20
SYNPCC7002_A1671,13
SYNPCC7002_A1672,13
SYNPCC7002_A1674,5
SYNPCC7002_A1676,6
SYNPCC7002_A1677,16
SYNPCC7002_A1680,4
SYNPCC7002_A1681,21
SYNPCC7002_A1682,7
SYNPCC7002_A1683,2
SYNPCC7002_A1687,15
SYNPCC7002_A1690,18
SYNPCC7002_A1692,17
SYNPCC7002_A1693,9
SYNPCC7002_A1701,8
SYNPCC7002_A1710,5
SYNPCC7002_A1711,2
SYNPCC7002_A1712,2
SYNPCC7002_A1714,6
SYNPCC7002_A1716,5
SYNPCC7002_A1717,1
SYNPCC7002_A1718,15
SYNPCC7002_A1724,18
SYNPCC7002_A1728,15
SYNPCC7002_A1732,3
SYNPCC7002_A1733,10
SYNPCC7002_A1734,10
SYNPCC7002_A1735,10
SYNPCC7002_A1742,12
SYNPCC7002_A1753,20
SYNPCC7002_A1754,12
SYNPCC7002_A1756,21
SYNPCC7002_A1762,21
SYNPCC7002_A1766,4
SYNPCC7002_A1769,5
SYNPCC7002_A1772,3
SYNPCC7002_A1773,3
SYNPCC7002_A1776,9
SYNPCC7002_A1778,1
SYNPCC7002_A1779,45
SYNPCC7002_A1792,10
SYNPCC7002_A1793,3
SYNPCC7002_A1797,6
SYNPCC7002_A1798,6
SYNPCC7002_A1799,1
SYNPCC7002_A1800,6
SYNPCC7002_A1801,6
SYNPCC7002_A1802,6
SYNPCC7002_A1803,6
SYNPCC7002_A1805,1
SYNPCC7002_A1806,1
SYNPCC7002_A1807,1
SYNPCC7002_A1810,8
SYNPCC7002_A1811,3
SYNPCC7002_A1812,3
SYNPCC7002_A1813,3
SYNPCC7002_A1814,3
SYNPCC7002_A1815,11
SYNPCC7002_A1816,16
SYNPCC7002_A1825,5
SYNPCC7002_A1828,20
SYNPCC7002_A1829,15
SYNPCC7002_A1830,15
SYNPCC7002_A1832,2
SYNPCC7002_A1838,10
SYNPCC7002_A1840,6
SYNPCC7002_A1844,9
SYNPCC7002_A1849,11
SYNPCC7002_A1851,16
SYNPCC7002_A1854,18
SYNPCC7002_A1856,7
SYNPCC7002_A1858,19
SYNPCC7002_A1862,1
SYNPCC7002_A1863,5
SYNPCC7002_A1864,18
SYNPCC7002_A1865,5
SYNPCC7002_A1873,9
SYNPCC7002_A1874,4
SYNPCC7002_A1879,15
SYNPCC7002_A1881,15
SYNPCC7002_A1885,10
SYNPCC7002_A1886,23
SYNPCC7002_A1887,3
SYNPCC7002_A1888,15
SYNPCC7002_A1889,45
SYNPCC7002_A1892,20
SYNPCC7002_A1895,6
SYNPCC7002_A1902,10
SYNPCC7002_A1909,6
SYNPCC7002_A1912,8
SYNPCC7002_A1913,8
SYNPCC7002_A1914,8
SYNPCC7002_A1916,16
SYNPCC7002_A1920,11
SYNPCC7002_A1922,9
SYNPCC7002_A1929,1
SYNPCC7002_A1930,1
SYNPCC7002_A1933,20
SYNPCC7002_A1935,2
SYNPCC7002_A1946,11
SYNPCC7002_A1957,17
SYNPCC7002_A1960,1
SYNPCC7002_A1961,5
SYNPCC7002_A1962,1
SYNPCC7002_A1970,16
SYNPCC7002_A1973,3
SYNPCC7002_A1980,45
SYNPCC7002_A1983,8
SYNPCC7002_A1997,6
SYNPCC7002_A2000,11
SYNPCC7002_A2009,1
SYNPCC7002_A2010,20
SYNPCC7002_A2016,10
SYNPCC7002_A2018,2
SYNPCC7002_A2032,2
SYNPCC7002_A2037,3
SYNPCC7002_A2044,21
SYNPCC7002_A2045,6
SYNPCC7002_A2046,5
SYNPCC7002_A2052,16
SYNPCC7002_A2054,5
SYNPCC7002_A2057,4
SYNPCC7002_A2061,8
SYNPCC7002_A2062,8
SYNPCC7002_A2063,6
SYNPCC7002_A2070,20
SYNPCC7002_A2073,11
SYNPCC7002_A2074,3
SYNPCC7002_A2076,45
SYNPCC7002_A2077,3
SYNPCC7002_A2079,2
SYNPCC7002_A2084,45
SYNPCC7002_A2089,45
SYNPCC7002_A2092,2
SYNPCC7002_A2095,1
SYNPCC7002_A2097,20
SYNPCC7002_A2102,3
SYNPCC7002_A2104,4
SYNPCC7002_A2105,4
SYNPCC7002_A2112,45
SYNPCC7002_A2114,45
SYNPCC7002_A2117,10
SYNPCC7002_A2120,19
SYNPCC7002_A2124,10
SYNPCC7002_A2127,5
SYNPCC7002_A2130,17
SYNPCC7002_A2135,12
SYNPCC7002_A2137,45
SYNPCC7002_A2139,11
SYNPCC7002_A2146,9
SYNPCC7002_A2156,10
SYNPCC7002_A2157,10
SYNPCC7002_A2163,11
SYNPCC7002_A2170,7
SYNPCC7002_A2171,7
SYNPCC7002_A2172,7
SYNPCC7002_A2173,7
SYNPCC7002_A2174,7
SYNPCC7002_A2175,7
SYNPCC7002_A2179,11
SYNPCC7002_A2180,8
SYNPCC7002_A2181,8
SYNPCC7002_A2186,3
SYNPCC7002_A2187,10
SYNPCC7002_A2190,3
SYNPCC7002_A2195,11
SYNPCC7002_A2197,15
SYNPCC7002_A2198,5
SYNPCC7002_A2199,7
SYNPCC7002_A2209,1
SYNPCC7002_A2210,1
SYNPCC7002_A2211,1
SYNPCC7002_A2219,19
SYNPCC7002_A2224,9
SYNPCC7002_A2225,9
SYNPCC7002_A2226,45
SYNPCC7002_A2228,1
